address,aka_name,city,dba_name,facility_type,inspection_date,inspection_id,inspection_type,latitude,license_,location,longitude,results,risk,state,violations,zip
8106 S RACINE AVE ,81ST AND RACINE CITGO INC.,CHICAGO,81ST AND RACINE CITGO INC.,Grocery Store,2011-03-25T00:00:00.000,158503,Complaint,41.746594707551054,1492008.0,"{'type': 'Point', 'coordinates': [-87.653781174108, 41.746594707551]}",-87.65378117410792,Fail,Risk 3 (Low),IL,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: 30 MICE DROPPINGS NOTED SCATTERED THROUGHOUT PREMISES ON FLOORS, UNDERNEATH STOCK AND ALONG WALL BASES-MUST CLEAN AND SANITIZE ALL AFFECTED AREAS, REPAIR REAR EXIT DOOR WHICH IS NOT TIGHT-FITTING AT THE BOTTOM TO PREVENT RODENT ENTRY,  PROVIDE A PEST CONTROL LOG BOOK AND ELIMINATE ALL CLUTTERED AREAS THROUGHOUT-CITATION ISSUED-SERIOUS 7-38-0020 | 19. OUTSIDE GARBAGE WASTE GREASE AND STORAGE AREA; CLEAN, RODENT PROOF, ALL CONTAINERS COVERED - Comments: TRASH AND DEBRIS NOTED ON OUTSIDE GROUNDS INCLUDING LANDSCAPING AND ALONG REAR ENCLOSED SIDE WHERE CRATES ARE STORED-MUST KEEP ENTIRE OUTSIDE AREA(FRONT, BACK, AND SIDES) CLEAN-CITATION ISSUED-SERIOUS 7-38-020 | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: CLEAN THE FOLLOWING: ALL POP & JUICE SHELVES ON SALES FLOOR AND IN WALK-IN COOLER, INTERIOR CABINETS OF RED COUNTER, ALL SHELVES ON SALES FLOOR AND THROUGHOUT WHERE NEEDED, AND ALL OTHER UNCLEAN SURFACES THROUGHOUT. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: DETAIL CLEAN FLOORS ALONG ALL WALL BASES, IN CORNERS, UNDERNEATH & BEHIND ALL HEAVY EQUIPMENT. ELEVATE ALL STOCK AND ITEMS 6 INCHES OFF FLOOR. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: CLEAN WALLS AND DOORS THROUGHOUT WHERE NEEDED. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: ELIMINATE ALL CLUTTERED AREAS THROUGHOUT.",60620.0
954 N CALIFORNIA AVE ,ROOTSTOCK WINE & BEER BAR,CHICAGO,ROOTSTOCK WINE & BEER BAR,Restaurant,2016-09-21T00:00:00.000,1960968,Canvass,41.89909971202615,1927492.0,"{'type': 'Point', 'coordinates': [-87.696933299029, 41.899099712026]}",-87.69693329902871,Pass w/ Conditions,Risk 1 (High),IL,"21. * CERTIFIED FOOD MANAGER ON SITE WHEN POTENTIALLY HAZARDOUS FOODS ARE  PREPARED AND SERVED - Comments: No Certified food manager on site during inspection. No City of Chicago certified food manager certificates on site. Instructed must have City of Chicago certified food manager certificates posted at all times, and must have a certified food manager on site while prepping or serving potentially hazardous foods. Serious violation 7-38-012. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: Found raw wood shelving in basement dry storage area. Instructed must paint or seal to make smooth and easily cleanable. Must maintain.

Found cutting board in kitchen area stained, also with deep groves. Instructed to resurface or replace cutting board.  | 43. FOOD (ICE) DISPENSING UTENSILS, WASH CLOTHS PROPERLY STORED - Comments: Wiping cloths improperly stored under cutting board in kitchen area. Instructed all wiping cloths must be in a sanitizing solution (in a clean container) when not in use. ",60622.0
5789 N MILWAUKEE AVE ,7 - ELEVEN,CHICAGO,7 - ELEVEN,Grocery Store,2016-12-19T00:00:00.000,1978392,Canvass Re-Inspection,41.986905524452354,1848194.0,"{'type': 'Point', 'coordinates': [-87.77782278908, 41.986905524452]}",-87.77782278908025,Pass w/ Conditions,Risk 2 (Medium),IL,"21. * CERTIFIED FOOD MANAGER ON SITE WHEN POTENTIALLY HAZARDOUS FOODS ARE  PREPARED AND SERVED - Comments: NO VALID CITY OF CHICAGO SANITATION CERTIFICATE POSTED ON THE PREMISES WHILE POTENTIALLY HAZARDOUS FOODS WERE BEING PREPARED , HELD HOT AND SERVED SUCH AS HOT DOG IN HOT HOLDING AT 159F. SERIOUS VIOLATION. 7-38-012.  | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN THE FOLLOWING: INTERIOR AND EXTERIOR SURFACES OF EXPOSED HAND SINK, 2 AND 3 COMPARTMENT SINK, PREP AND STORAGE SHELVES THROUGHOUT, BEVERAGE DISPENSER MACHINE NOZZLES, UNDER AND AROUND BEVERAGE DISPENSER MACHINE WITH EXCESSIVE DUST AND SYRUP ACCUMULATION AND EXTERIOR SURFACES OF GARBAGE CONTAINER BEHIND FRONT PREP AREA. 
 | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments:  INSTRUCTED TO REPAIR FAUCET NECK WITH HEAVY LEAK AT 2 COMPARTMENT SINK.-------MUST PROVIDE 3 WORKING DRAIN STOPPERS FOR 3 COMPARTMENT SINK. 
 | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments:  INSTRUCTED TO DETAIL CLEAN AND MAINTAIN DISHWASHING AREA. MUST REMOVE CLUTTER AND UNNECESSARY ARTICLES. MUST REORGANIZE AND MAINTAIN. 
 | 29. PREVIOUS MINOR VIOLATION(S) CORRECTED 7-42-090 - Comments:  PREVIOUS SERIOUS/MINOR VIOLATION FROM 12-12-16 NOT CORRECTED #45 - ESTABLISHMENT HAS NOT MET REQUIREMENT FOR FOOD HANDLERS TRAINING. INSTRUCTED THAT ALL FOOD HANDLERS MUST COMPLETE FOOD HANDLERS TRAINING WHEN POTENTIALLY HAZARDOUS FOODS ARE BEING HANDLED.SERIOUS VIOLATION 7-42-090. | 18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: PEST CONTROL LOG BOOK IS NOW ON SITE AND AVAILABLE FOR REVIEW.",60646.0
5334-5336 N WESTERN AVE ,CONTINENTAL CARE CENTER,CHICAGO,CONTINENTAL CARE CENTER,Long Term Care,2017-06-14T00:00:00.000,2064254,Canvass Re-Inspection,41.97875374803628,2207939.0,"{'type': 'Point', 'coordinates': [-87.689409089532, 41.978753748036]}",-87.68940908953196,Pass,Risk 1 (High),IL,"16. FOOD PROTECTED DURING STORAGE, PREPARATION, DISPLAY, SERVICE AND TRANSPORTATION - Comments: VIOLATION CORRECTED.ICE MACHINE WAS CLEANED IN DETAIL,PROOF SHOWN AT THIS TIME. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: NO EXPOSED HAND SINK IN THE DISH WASHING AREA WITH HIGH TEMP DISH MACHINE. MUST INSTALL EXPOSED HAND SINK WITH HOT AND COLD RUNNING WATER UNDER CITY PRESSURE AND PROVIDE HAND SOAP AND PAPER TOWEL.  | 45. FOOD HANDLER REQUIREMENTS MET - Comments: NO FOOD HANDLERS CERTIFICATE FOR THE REST OF THE EMPLOYEE IN THE KITCHEN. MUST PROVIDE NEXT ROUTINE INSPECTION. ",60625.0
2625 W LAWRENCE AVE ,CAFE MIMOZA,CHICAGO,CAFE MIMOZA,Restaurant,2016-10-14T00:00:00.000,1966451,Canvass Re-Inspection,41.96845247365508,1245673.0,"{'type': 'Point', 'coordinates': [-87.694874676816, 41.968452473655]}",-87.69487467681566,Pass w/ Conditions,Risk 1 (High),IL,"14. PREVIOUS SERIOUS VIOLATION CORRECTED, 7-42-090 - Comments: THE PREVIOUS SERIOUS VIOLATION FROM REPORT #1966142 DATED ON 10/07/16 NOT CORRECTED-#18 OBSERVED 3 LIVE ROACHES BEHIND BAR COUNTER AND 1 LIVE ROACH IN PREP AREA. INSTRUCTED MANAGER TO ELIMINATE ALL ROACH/PEST ACTIVITY ALSO MUST CONTACT PEST CONTROL OPERATOR FOR SERVICE OF ESTABLISHMNET. CRITICAL VIOLATION 7-42-090. CITATION ISSUED. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: OBSERVED CRACKS/CREVICES BETWEEN WOOD PIECES/FRAME BEHIND BAR AND COFFEE AREA. MUST SEAL ALL CRACKS/CREVICES. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: CORRECTED | 18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: SEE VIOLATION #14 | 25. TOXIC ITEMS PROPERLY STORED, LABELED AND USED - Comments: OBSERVED WHITE PILLS ON FLOOR THROUGHOUT PREMISES, CANNOT DISTRIBUTE THROUGHOUT PREP AREA. INSTRUCTED MANAGER WHITE PILLS MUST BE IN CONTAINERS. SERIOUS VIOLATION 7-38-005(A). CITATION ISSUED.",60625.0
5400 N CLARK ST ,HAMBURGER MARY'S CHICAGO,CHICAGO,HAMBURGER MARY'S CHICAGO,Restaurant,2017-05-30T00:00:00.000,2059287,Canvass Re-Inspection,41.97988428297559,1765976.0,"{'type': 'Point', 'coordinates': [-87.668429484682, 41.979884282976]}",-87.66842948468236,Pass,Risk 1 (High),IL,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: INTERIOR OF THE 1ST FLOOR, REAR BAR THREE COMPARTMENT SINK DIRTY AND BADLY STAINED. INTERIOR OF THE BASEMENT, EMPLOYEE WASHROOM WASH BOWL DIRTY. MUST CLEAN AND MAINTAIN ALL. 
 | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments:  FLOOR OF THE BASEMENT WALK-IN FOOD COOLER WITH DIRT AND FOOD DEBRIS. MUST CLEAN AND MAINTAIN. ALSO, THE SAME FLOOR WITH PEELING PAINT. MUST REMOVE PEELING PAINT. FLOOR UNDER THE 1ST FLOOR, REAR BAR EAST ICE BIN DIRTY WITH SODA SPILLAGE. MUST CLEAN AND MAINTAIN. POOLING LIQUID ON THE BASEMENT LAUNDRY ROOM FLOOR AT SEALED FLOOR PIPING. MUST REMOVE AND MAINTAIN DRY. 
 | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments:  RAW WOODEN WALL MOUNT FOR THE FRY SLICER DIRTY WITH GREASE AND MOLD. MUST REPLACE WITH SMOOTH CLEANABLE MATERIAL. 
 | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments:  ALL STORED ITEMS ON THE REAR WALKWAY INCLUDING THE UNUSED FERREL CAT HOUSE, MUST BE REMOVED FROM THE PREMISES TO PREVENT RODENT HARBORING. 
 | 43. FOOD (ICE) DISPENSING UTENSILS, WASH CLOTHS PROPERLY STORED - Comments:  COOKS LINE WIPING CLOTHS MUST BE HELD IN A CLEAN CONTAINER WITH A SANITIZING SOLUTION. 
 | 19. OUTSIDE GARBAGE WASTE GREASE AND STORAGE AREA; CLEAN, RODENT PROOF, ALL CONTAINERS COVERED - Comments: OUTSIDE GREASE RECEPTACLE AND SURROUNDING GROUND HAS BEEN CLEANED, GREASE REMOVED.",60640.0
5635 W MONTROSE AVE ,HAGEN'S FISH MARKET,CHICAGO,"HAGEN'S FISH MARKET,INC",Grocery Store,2015-07-15T00:00:00.000,1561251,Canvass,41.960354573140535,4941.0,"{'type': 'Point', 'coordinates': [-87.768685440274, 41.960354573141]}",-87.76868544027424,Pass,Risk 1 (High),IL,"38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: INSTRUCTED TO REPAIR (2)LEAKY FAUCET NECK AT 3 COMPARTMENT SINK IN REAR. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: INSTRUCTED TO REFINISH OR REPLACE CUTTING BOARDS WITH DEEP SEAMS AND STAIN IN PREP AREA. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: LIGHT BULB MUST BE SHIELDED OR PROVIDE SHATTER LIGHT BULB ABOVE REAR AREA.",60634.0
5423-5427 N CLARK ST ,NOODLE ZONE,CHICAGO,NOODLE ZONE INC,Restaurant,2010-12-01T00:00:00.000,469228,Canvass Re-Inspection,41.98046175414387,1548223.0,"{'type': 'Point', 'coordinates': [-87.668179843794, 41.980461754144]}",-87.66817984379415,Pass w/ Conditions,Risk 1 (High),IL,"14. PREVIOUS SERIOUS VIOLATION CORRECTED, 7-42-090 - Comments: A separate and distinct offense shall be deemed to have been committed for each Serious violation that is not corrected upon re-inspection by the health authority.  PREVIOUS SERIOUS VIOLATION FROM REPORT #462813 ON 11/19/10 NOT CORRECTED:  18/01- All necessary control measures shall be used to effectively minimize or eliminate the presence of rodents, roaches, and other vermin and insects on the premises of all food establishments, in food-transporting vehicles, and in vending machines. OBSERVED LIVE COCKROACHES IN THE BASEMENT STORAGE AREA. 12 LIVE COCKROACHES WERE OBSERVED ON A WOODEN STORAGE SHELVES IN THE MIDDLE OF THE BASEMENT. ADDITIONAL PEST CONTROL SERVICE IS NEEDED TO ELIMINATE OR MINIMIZE THE PEST ACTIVITY. CLEAN AND SANITIZE ALL AFFECTED AREAS. REMOVE ANY DEAD COCKROACHES FROM THE SHELVES, EQUIPMENT AND THE FLOOR OF THE BASEMENT. REMOVE INSECT GLUE TRAPS FROM ON TOP OF PREP AREA STORAGE SHELVES AND PREP TABLES.  PEST CONTROL COMPANY IS ONSITE DURING THE REINSPECTION.  CRITICAL VIOLATION 7-42-090. | 18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: All necessary control measures shall be used to effectively minimize or eliminate the presence of rodents, roaches, and other vermin and insects on the premises of all food establishments, in food-transporting vehicles, and in vending machines.  SEE VIOLATION #14. | 29. PREVIOUS MINOR VIOLATION(S) CORRECTED 7-42-090 - Comments:  | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments:  | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: All food and non-food contact surfaces of equipment and all food storage utensils shall be thoroughly cleaned and sanitized daily.  DETAIL CLEAN THE FOLLOWING: DUST ON TOP OF THE VENTILATION HOOD AND DUCTWORK IN THE MAIN PREP AREA, LIGHT SHIELDS IN MAIN PREP AREA, TOP OF STOVE, OVEN, SIDES OF COOKING EQUIPMENT. 
 | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: The walls and ceilings shall be in good repair and easily cleaned.  DETAIL CLEAN THE WALL BEHIND THE COOKING EQUIPMENT. 
",60640.0
6059 N LINCOLN AVE ,PANERA BREAD,CHICAGO,PANERA BREAD,Restaurant,2010-12-09T00:00:00.000,88620,Canvass,41.99191947239194,1475890.0,"{'type': 'Point', 'coordinates': [-87.709631334403, 41.991919472392]}",-87.70963133440333,Fail,Risk 1 (High),IL,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: All necessary control measures shall be used to effectively minimize or eliminate the presence of rodents, roaches, and other vermin and insects on the premises of all food establishments, in food-transporting vehicles, and in vending machines. Found observed side exit door in rear prep area not rodent proofed, door had 1/4inch, to 1/2inch on bottom, and middle of doors. Citation issued #H000063590, with a court date of 1/20/2011, at 400 w superior in room #112 at 9:00am. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: Non food contact surfaces of walk in cooler shelving/racks not clean need detailed cleaning(crevices), rear storage shelving, racks not clean need detailed cleaning(crevices), front counter shelving need cleaning. non food contact surfaces of pop dispensing unit need detailed cleaning.non food contact surfaces of cooking need cleaning. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: Floors under heavy equipment, cooking equipment, storage shelving, rear prep areas, and rear storage areas need cleaning(detailed).  | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: Ceiling tiles in rear prep areas, not clean need detailed cleaning, walls, ceilings in walk in cooler need cleaning. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: Missing light shield in walk in cooler, shall be provided, light shields that had damaged in walk in cooler shall be replaced. Light shields in prep areas not clean need detailed cleaning. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: Exhaust vents(ventilation) in kitchen prep areas not clean need cleaning, walk in cooler exhaust vents need cleaning. exhaust vents in dining areas, bathrooms need cleaning.",60659.0
1958 W HURON ST ,BAR DEVILLE,CHICAGO,BAR DEVILLE,Liquor,2011-07-15T00:00:00.000,585824,Complaint Re-Inspection,41.89420534591261,39698.0,"{'type': 'Point', 'coordinates': [-87.676881706207, 41.894205345913]}",-87.67688170620728,Pass,Risk 3 (Low),IL,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: VIOLATION NOW CORRECTED | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: VIOLATION STILL PENDING | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: VIOLATION STILL PENDING | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: VIOLATION STILL PENDING | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: VIOLATION STILL PENDING",60622.0
4640 N CUMBERLAND ,GRANDMA'S PIEROGI & POLISH FOOD,CHICAGO,GRANDMA'S PIEROGI INC,Restaurant,2011-03-16T00:00:00.000,579792,License Re-Inspection,41.96421158016989,2084646.0,"{'type': 'Point', 'coordinates': [-87.836837365226, 41.96421158017]}",-87.83683736522617,Pass,Risk 1 (High),IL,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: Above violation has been corrected at this time of license re-inspection on 3/16/2011. | 21. * CERTIFIED FOOD MANAGER ON SITE WHEN POTENTIALLY HAZARDOUS FOODS ARE  PREPARED AND SERVED - Comments: Above violation has been corrected at this time of license re-inspection on 3/16/2011. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: Above violation has been corrected at this time of license re-inspection on 3/16/2011. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: Above violation has been corrected at this time of license re-inspection on 3/16/2011. | 37. TOILET ROOM DOORS SELF CLOSING: DRESSING ROOMS WITH LOCKERS PROVIDED: COMPLETE SEPARATION FROM LIVING/SLEEPING QUARTERS - Comments: Above violation has been corrected at this time of license re-inspection on 3/16/2011. | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: Above violation has been corrected at this time of license re-inspection on 3/16/2011.",60656.0
3129 S Morgan ST ,Zaytune,CHICAGO,Zaytune Mediterranean Grill,Restaurant,2017-02-27T00:00:00.000,1672224,Canvass Re-Inspection,41.83713294787266,2009543.0,"{'type': 'Point', 'coordinates': [-87.650975035081, 41.837132947873]}",-87.65097503508115,Pass,Risk 1 (High),IL,45. FOOD HANDLER REQUIREMENTS MET - Comments: ALL FOOD HANDLING EMPLOYEES AND DISHWASHERS MUST SHOW PROOF OF FOOD HANDLER TRAINING. MUST PROVIDE. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: THE VENTILATION FAN IN THE WASHROOM IS NOT OPERATIONAL. MUST REPAIR OR REPLACE THE FAN.,60608.0
3801-3815 W ROOSEVELT RD ,BP,CHICAGO,BP,Grocery Store,2014-05-30T00:00:00.000,1385360,Canvass,41.86612908906597,2232520.0,"{'type': 'Point', 'coordinates': [-87.720190278683, 41.866129089066]}",-87.72019027868306,Fail,Risk 3 (Low),IL,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: OBSERVED EVIDENCE OF MORE THAN 30 RODENT DROPPINGS SCATTERED ON FLOOR & BEHIND PALLETS IN REAR ADJACENT POP STORAGE AREA,IN REAR AREA BEHIND & BETWEEN CRATES & ON LEDGE UNDER ELECTRICAL BOXES AT WALL.ALSO SMALL FLIES AT COFFEE AREA SERVICE COUNTER.ALSO OPEN POISON ON FLOOR IN BETWEEN CHIPS DISPLAY,ALSO FRONT & REAR DOORS NOT TIGHT FITTING,MUST REMOVE DROPPINGS,CLEAN & SANITIZE AREAS.RODENT PROOF DOORS.RECOMMENDED TO HAVE A PEST CONTROL OPERATOR TO SERVICE PREMISES ON OR AFTER 5/30/14.(SERIOUS 7-38-020). | 19. OUTSIDE GARBAGE WASTE GREASE AND STORAGE AREA; CLEAN, RODENT PROOF, ALL CONTAINERS COVERED - Comments: OBSERVED EVIDENCE OF OUTSIDE GARBAGE DUMPSTER AREA NOT MAINTAINED.OBSERVED MASSIVE AMOUNT OF DEBRI,TRASH,BREAD & POP CRATES ALONG FENCE LINE & GARBAGE CORRAL.LIDS ALSO DAMAGED ALL 3- APPEARS TO HAVE BEEN GNAWED ON.ALSO REAR SIDE YARD THE SAME.STRONG URINE SMELL IN GARBAGE CORRAL AREA.MUST REMOVE DEBRI & ARTICLE,CLEAN & MAINTAIN AREA.RODENT PROOF GARBAGE CANS.(SERIOUS 7-38-020). | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: MUST REPAIR OR REPLACE BROKEN DOOR AT GARBAGE CAN AREA AT COFFEE SERVICE COUNTER. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: MUST CLEAN DUST BUILD UP AT SHELVING UNITS AT SERVICE COUNTER,ALL DISPLAY SHELVES & UNITS,POP SLEEVES IN COOLER,ICE CREAM FREEZER,WINDOW SILLS,MOP SINK & 3- COMP SINK BASIN,DOOR JAMS AT REACH IN COOLER. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MUST CLEAN FLOOR UNDER,AROUND,ALONG WALLBASES THROUGHOUT & UNDER DISPLAY SHELVES & WALK IN COOLER. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST CLEAN WALLS THROUGHOUT.MUST REPAIR OR REPLACE DAMAGED & STAINED CEILING TILES WHERE NEEDED.MUST HAVE REAR ADJACENT FOOD STORAGE SHED ENCLOSED AROUND ALL SIDES. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: MUST PROVIDE ADEQUATE LIGHTING IN DISH WASHING AREA & CLEAN LIGHT SHIELDS WHERE NEEDED. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: MUST PROVIDE SINK STOPPERS FOR 3- COMP SINK,DRAIN BOARD AT 3- COMP SINK.MUST CLEAN VENTILATION VENTS. | 37. TOILET ROOM DOORS SELF CLOSING: DRESSING ROOMS WITH LOCKERS PROVIDED: COMPLETE SEPARATION FROM LIVING/SLEEPING QUARTERS - Comments: MUST PROVIDE SELF CLOSING DEVICE ON TOILET ROOM DOOR. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: MUST REMOVE & ORGANIZE MASSIVE AMOUNT OF CLUTTER IN DISH WASHING AREA & MOP SINK BASIN.",60624.0
