,total,name,type,county
96,14,Delta High School: November 2021,School K-12,Delta
97,12,Pueblo Community College,College/University,Pueblo
98,7,Colonial Health and Rehabilitation Center (020564): December 2021,Healthcare - Skilled Nursing,El Paso
99,3,Sterling Health and Rehabilitation Center (020165): November 2021,Healthcare - Skilled Nursing,Logan
100,8,John F Kennedy High School: December 2021,School K-12,Denver
101,12,Beulah School of Natural Sciences,School K-12,Pueblo
102,5,The Goddard School of Lakewood,Child Care Center,Jefferson
103,5,Riverdale Rehab and Care Community (020312): November 2021,Healthcare - Skilled Nursing,Adams
104,10,Brookdale Fort Collins Memory Care (2303C1): December 2021,Healthcare - Memory Care,Larimer
105,12,The Center at Northridge (02I148): November 2021,Healthcare - Skilled Nursing,Adams
106,5,The Green Solution,Office/Indoor Workspace,Denver
107,3,Altavita Memory Care Center (23H130): December 2021,Healthcare - Skilled Nursing,Boulder
108,4,Rosemark at Mayfair Park (23E998): November 2021,Healthcare - Assisted Living,Denver
109,12,JeffCom 911,Municipal/Local Government,Jefferson
110,11,Pacific Premier Bank,Office/Indoor Workspace,Denver
111,13,Lighthouse- Sober Living House For Men ,Healthcare - Alcohol/Drug Abuse Treatment (inpatient),Larimer
112,6,The Buffalo Rose: November 2021,Indoor Entertainment/Rec,Jefferson
113,6,Shane Co - Westminster,Retailer,Jefferson
114,15,Walmart #966: November 2021,Retailer,Montezuma
115,4,Winslow Court Retirement Community (230512): December 2021,Healthcare - Assisted Living,El Paso
116,6,Safeway #2246: November 2021,Grocery Store,Denver
117,2,Balfour Longmont (23L108): December 2021,Healthcare - Assisted Living,Boulder
118,2,Crossroads at Delta (23R567): December 2021,Healthcare - Assisted Living,Delta
119,5,Erico Motorsports,Other,Denver
120,35,Centennial Middle School,School K-12,Montrose
121,2,Manor Health Services - Boulder (020315): November 2021,Healthcare - Skilled Nursing,Boulder
122,26,Las Animas Elementary School,School K-12,Bent
123,5,Cottonwood Elementary School,School K-12,Montrose
124,2,Grace Pointe Continuing Care Senior Campus - Skilled Nursing (02D975): November 2021,Healthcare - Skilled Nursing,Weld
125,17,Columbine Middle School,School K-12,Montrose
126,11,Northfield High School: December 2021,School K-12,Denver
127,10,Johnson Elementary School - Montrose,School K-12,Montrose
128,11,Mile Hi Children's Enrichment Center,Child Care Center,Jefferson
129,2,Belleview Suites at DTC (2304VK): November 2021,Healthcare - Assisted Living,Denver
130,19,48th Avenue - Catholic Charities Women's Shelter,Homeless Shelter,Denver
131,3,Garden Terrace Alzheimer's Center Of Excellence (020469): November 2021,Healthcare - Skilled Nursing,Arapahoe
132,12,Bonaventure of Thornton (23O534): November 2021,Healthcare - Combined Care,Adams
133,2,Linden Place Health and Rehabilitation Center (020375): November 2021,Healthcare - Skilled Nursing,Boulder
134,8,Little Sisters of the Poor- Mullen Home (020442): November 2021,Healthcare - Skilled Nursing,Denver
135,17,Durango High School: November 2021,School K-12,La Plata
136,7,Primrose School of Longmont: November 2021,Child Care Center,Boulder
137,24,Escalante Middle School ,School K-12,La Plata
138,10,Horizon Middle School: November 2021,School K-12,El Paso
139,5,SonShine Daycare and Preschool,Child Care Center,Boulder
140,33,Liberty Point Elementary School,School K-12,Pueblo
141,17,Montrose County Vaccine Clinic,Healthcare - Outpatient,Montrose
142,7,Sloan's Lake Rehabilitation Center (02Q649): November 2021,Healthcare - Skilled Nursing,Denver
143,8,Purple Moon Early Learning Center,Child Care Center,Adams
144,15,Jewish Community Center Early Learning School: November 2021,Child Care Center,Denver
145,10,The Center at Lowry (02G500): November 2021,Healthcare - Skilled Nursing,Denver
146,13,Advantage Treatment Center- Sterling: November 2021,"Correctional, Other",Logan
147,7,La Villa Grande (021161): November 2021,Healthcare - Assisted Living,Mesa
148,23,Fremont County Detention Center: November 2021,Jail,Fremont
149,6,Bright Beginnings Learning Center: December 2021,Child Care Center,Arapahoe
150,5,Heritage High School: November 2021,School K-12,Arapahoe
151,4,Hillcrest of Loveland (23E476): November 2021,Healthcare - Assisted Living,Larimer
152,4,Rehabilitation and Nursing Center of the Rockies (020325): November 2021,Healthcare - Skilled Nursing,Larimer
153,4,Frasier Meadows Health Care Center (020301),Healthcare - Skilled Nursing,Boulder
154,3,North Star Rehabilitation and Care Community (020413): November 2021,Healthcare - Skilled Nursing,Denver
155,3,Holly Heights Care Center (020412): November 2021,Healthcare - Skilled Nursing,Denver
