total	type	name
2	School K-12	Grand Mountain K-8 School
2	Construction Company/Contractor	Royal Electrical Services
3	School K-12	International School of Denver
2	School K-12	Sproul Junior High School
6	Retailer	Rampart Supply_ Inc. 
8	Non-Food Manufacturer/Warehouse	Electro-Mechanical Products Inc.
5	Other	Donald Wescott Fire District Station 2
9	Retailer	Walmart #3533
4	Retailer	Perri Powersports
4	School K-12	Denver Green School Southeast
7	Distribution Center/Business	FedEx Freight COS Terminal
3	School K-12	The Classical Academy Central Elementary
4	Grocery Store	Trader Joe's #302
18	Grocery Store	King Soopers #7
2	Hotel/Lodge/Resort	Rodeway Inn and Summit RV Park
5	Food Manufacturing/Packaging	Enstrom's Candies
2	Restaurant - Sit Down	Home Team Barbecue
9	Healthcare - Hospice	New Century Hospice
52	Healthcare - Assisted Living	Spring Ridge Park Assisted Living (2304AL)
9	Law Enforcement - Other	CCD Roslyn Center
3	Law Enforcement Administration	Jefferson County Sheriff's Office-Dakota Building 
43	Healthcare - Skilled Nursing	Accel at Golden Ridge (02V720): November 2020
10	Non-Food Manufacturer/Warehouse	Evoquoa Water Technologies
68	Healthcare - Assisted Living	Fort Collins Health Care Center (020395)
5	School K-12	James Irwin Charter School
68	Healthcare - Assisted Living	Villa Pueblo (23B424)
17	Healthcare - Skilled Nursing	Walbridge Memorial Convalescent Wing (020867)
4	Healthcare - Outpatient	Partners in Women's Health
17	Healthcare - Skilled Nursing	University Heights Rehab And Care Community (020447): November 2020
2	Healthcare - Outpatient	Porter Adventist Hospital - CT / Radiology Department
4	School K-12	Grand County Christian Academy
4	Hotel/Lodge/Resort	Dunton Hot Springs
2	Office/Indoor Workspace	Headhunter Strings_ Inc.
6	Healthcare - Outpatient	Comfort Dental North Academy
27	Healthcare - Combined Care	Forest Ridge Senior Living (02D453)
44	Hotel/Lodge/Resort	Great Wolf Lodge: November 2020
29	Non-Food Manufacturer/Warehouse	Owen's Illinois
3	Jail	Rio Blanco County Jail
8	Healthcare - Group Home	Ash Group Home (Continuum of Colorado): November 2020
4	School K-12	Welby Community School
12	Homeless Shelter	Alternative Homes for Youth 
9	School K-12	Regis Jesuit High School
3	School K-12	Parker Core Knowledge Charter School: November 2020
15	Healthcare - Acute Care Hospital	SCL St Joseph Hospital
7	Caterer	Bon Appetit Management Company 
2	Other	Habitat for Humanity 
3	Healthcare - Skilled Nursing	Heritage Park Care Center (020845)
3	Agriculture - Other	Limagrain Cereal Seeds_ LLC
12	Healthcare - Skilled Nursing	University Park Care Center (020650): November 2020
7	Retailer	New Horizons Thrift Store
20	State Prison	Trinidad Correctional Facility
3	Other	Keesee Motor Co
33	Healthcare - Skilled Nursing	Pikes Peak Center (02B942): November 2020
63	Healthcare - Skilled Nursing	Spanish Peaks Veterans Community Living Center (0207YZ)
3	Retailer	Walmart #2672
6	Social Gathering	Social Gathering - Pitkin: November 2020 #2
5	Retailer	Automotive Avenues 
4	Other	Pueblo (City) Fire Station #5
2	Retailer	Lowes #3206
2	Construction Site	Turner Morris/Mountain Temps- Park Animal Hospital Construction Site
7	Restaurant - Sit Down	Buffalo Wild Wings
8	Healthcare - Assisted Living	The Bridge at Colorado Springs (23052X)
15	Religious Facility	Salida Vineyard Church
4	Hotel/Lodge/Resort	Winter Park Mountain Lodge
6	Restaurant - Fast Food	Wendy's
4	Restaurant - Other	Park Tavern
13	Healthcare - Skilled Nursing	Clear Creek Care Center (020401): November 2020
50	Healthcare - Skilled Nursing	Columbine West Health & Rehab Facility (020335): November 2020
7	Hotel/Lodge/Resort	Quality Inn- Trinidad
8	School K-12	Longmont High School
3	School K-12	Ersilia Cruz Middle School 
14	Grocery Store	Whole Foods Southglenn
9	Healthcare - Skilled Nursing	Accel at Longmont (02V342)
2	School K-12	Johnson Elementary School
4	Healthcare - Combined Care	Kavod Senior Life (230445): November 2020
5	School K-12	Cripple Creek - Victor High/Middle School
3	Restaurant - Sit Down	Urban Farmer
3	School K-12	Cesar Chavez Academy
7	Hotel/Lodge/Resort	Embassy Suites by Hilton
12	School K-12	Blevins Middle School
4	Healthcare - Outpatient	CU Sheridan Health Services
6	Other	The Club at Flying Horse
7	Office/Indoor Workspace	Montezuma County Department of Social Services
5	Office/Indoor Workspace	Salvation Army - Headquarters
20	Construction Site	J.E. Dunn General Contractor: University of Colorado Denver First Year Student Housing Job Site
4	Office/Indoor Workspace	Land Title Guarantee Company- Pueblo
2	School K-12	Marie L. Greenwood Academy
8	Other	Blackstone Country Club
4	Office/Indoor Workspace	Snowmass Water & Sanitation District
8	Healthcare - Assisted Living	The Fountains of Hilltop (2311QA)
3	Non-Food Manufacturer/Warehouse	Ska Fabricating
10	Child Care Center	Orchard Valley Learning Center November 2020
44	State Prison	Colorado State Penitentiary
6	Non-Food Manufacturer/Warehouse	Qualtek Manufacturing_ Inc
4	Other	Wilderness First Responder Class
68	Jail	Jefferson County Detention Facility
8	Non-Food Manufacturer/Warehouse	Boulder Scientific Company
34	Healthcare - Assisted Living	Brookdale Vista Grande (23053C)
6	Materials Supplier	Springs Fabrication_ LLC
23	Healthcare - Assisted Living	Pine Grove Crossing (23N138)
7	Office/Indoor Workspace	Sunstate Equipment
6	Office/Indoor Workspace	Triple Crown Sports
6	School Administration	Sheridan School District Transportation Building
2	Restaurant - Fast Food	McDonald's Vail
3	Restaurant - Other	Antonio's Real NY Pizza
8	Healthcare - Assisted Living	Palisades Living Center (021137)
29	Retailer	Target-Thornton 
8	Other	Connolly's Towing_ Inc.
68	Food Manufacturing/Packaging	JBS Greeley Beef Plant: November 2020
15	Retailer	Target- Arvada South
4	Non-Food Manufacturer/Warehouse	Associated Thermoforming Inc
85	Healthcare - Skilled Nursing	Minnequa Medicenter (020675)
3	School K-12	Schmitt Elementary
23	School K-12	Rock Canyon High School
29	Healthcare - Memory Care	New Dawn Memory Care - Colorado Springs (23Q274)
5	School K-12	Edison Elementary 
3	Healthcare - Outpatient	Retina Consultants of Southern Colorado_ P.C.
7	Child Care Center	Stepping Stones Day School
48	School K-12	Yeshiva Toras Chaim
2	Healthcare - Outpatient	AeroCare Holdings_ Inc.- Elizabeth St
4	Healthcare - Outpatient	Kidney Center of Arvada
5	Other	Pueblo Hatchery
3	Office/Indoor Workspace	Glaser Energy
21	Healthcare - Combined Care	Brookdale Greenwood Village (0204W6): November 2020
3	Food Manufacturing/Packaging	Natural Soda
8	Healthcare - Assisted Living	Mesa Vista of Boulder (020380): November 2020
8	Healthcare - Assisted Living	Five Star Residences at Dayton Place (2304D3): November 2020
32	Office/Indoor Workspace	Charter Communications
12	School K-12	Swink High School: November 2020
38	Healthcare - Assisted Living	Hillcrest of Loveland (23E476)
34	Healthcare - Skilled Nursing	North Shore Health & Rehab Facility (020331): November 2020
6	Outdoor Entertainment/Rec	Hearts and Horses Therapeutic Riding Center 
32	Healthcare - Outpatient	Eye Associates of Colorado Springs
2	Youth Sports/Activities	Rodarte Community Center 
25	Materials Supplier	Vestas Blades America - Windsor: November 2020
8	Restaurant - Sit Down	City o City 
6	Child Care Center	Prestige Academy Reunion
4	Bar/Tavern/Brewery	Broken Compass Brewing
5	Retailer	The Home Depot #1502
5	Grocery Store	City Market- Woodland Park
10	Healthcare - Assisted Living	Golden View Assisted Living (230664)
2	Office/Indoor Workspace	El Paso County Department of Human Services
17	Grocery Store	Trader Joe's #305: November 2020
14	Healthcare - Facility for Developmentally Disabled (inpatient)	Grand Junction Regional Center - House 2
4	Construction Company/Contractor	Phase 2 Company (PK-8 site)
15	School K-12	Platte River Academy
5	Child Care Center	Cadence Academy Preschool
3	Child Care Center	Children's Garden Montessori School 
6	Retailer	Lowes #2568
4	Child Care Center	Valley Christian Academy
17	Healthcare - Assisted Living	The Harmony Home LLC (2301MN)
41	Food Manufacturing/Packaging	Nestle Purina Pet Care: November 2020
4	Retailer	The Home Depot #1534
4	Religious Facility	Arriola Bible Church
14	Restaurant - Sit Down	Steamworks Brewing Company
4	Child Care Center	Primrose School of Thornton
3	Other	Jiffy Lube
4	School K-12	St. Vincent de Paul Catholic School 
55	Healthcare - Assisted Living	Brookdale Highlands Ranch (2304DB)
48	Healthcare - Memory Care	Springs Ranch Memory Care Community (23Z839)
3	Outdoor Entertainment/Rec	Beaver Creek Ski Rentals
4	Outdoor Entertainment/Rec	Vail Mountain Lift Operations
2	Construction Company/Contractor	Latcon Corportion
5	School K-12	Montessori Academy of Colorado
108	Healthcare - Skilled Nursing	Cheyenne Mountain Center (020573): November 2020
12	Healthcare - Assisted Living	Lighthouse Assisted Living - Emporia House (2304O6)
11	Healthcare - Assisted Living	Applewood Our House Assisted Living Facility II (23O617)
2	School K-12	Boulder High School
4	Home Maintenance Services	Metco Landscape - Colorado Springs North Branch
2	Healthcare - Independent Living Facility	Primrose Retirement Community
3	School K-12	Pioneer Elementary
7	School K-12	Pomona High School
11	Construction Site	Carmel Construction:  Drive Train Site
84	Healthcare - Skilled Nursing	Hallmark Nursing Center (020453): November 2020
5	Other	Mesa Veterinary Clinic
2	School K-12	Green Valley Ranch High School
2	School K-12	Green Valley Elementary
5	School K-12	University Hill Elementary
10	School K-12	Burlington High School
29	Healthcare - Assisted Living	Cherry Hills Assisted Living and Memory Care (23K182)
3	Healthcare - Outpatient	Colorado Sleep Institute
33	Healthcare - Assisted Living	Legacy Village of Castle Pines LLC (23O530): November 2020
5	Healthcare - Outpatient	Lighthouse Neurofeedback and Behavior Analysis
4	Child Care Center	LaPetite Academy
13	Healthcare - Assisted Living	Rocky Mountain Assisted Living - Milwaukee (23W277)
8	Healthcare - Outpatient	Family Support Center- Pueblo
6	Other	Colorado Springs Utilities
19	Child Care Center	Little Sunshine Playhouse & Preschool
8	Other	Ponderosa Vet Clinic
3	Other	TwoCor Projects
7	School K-12	Academia Ana Marie Sandoval
5	Personal Services	Studio Be Salon
4	Hotel/Lodge/Resort	The Antlers LLC
5	Grocery Store	Whole Foods Market: Washington Park
9	Grocery Store	King Soopers #47
5	Hotel/Lodge/Resort	Best Western Alpenglo Lodge
6	Healthcare - Facility for Developmentally Disabled (outpatient)	Wintergreen PCA
8	Healthcare - Acute Care Hospital	Penrose St. Francis Health Services - Bariatric Unit
5	Non-Food Manufacturer/Warehouse	"California Expanded Metal Products ""CEMCO Steel"""
5	Restaurant - Fast Food	McDonald's 
12	Distribution Center/Business	Pepsi Beverages Company_ Bottling group: November 2020
154	Healthcare - Skilled Nursing	Avamere Transitional Care and Rehabilitation (020399): November 2020
51	Healthcare - Skilled Nursing	E. Dene Moore Care Center (020899)
18	Other	RTD Elati Light Rail Maintenance Facility
20	Other	Groove Ford Dealer
13	"Correctional	 Other"
2	Social Gathering	Social Gathering- San Juan
11	Healthcare - Skilled Nursing	Jewell Care Center of Denver (020416): November 2020
9	School K-12	Arapahoe High School
16	Non-Food Manufacturer/Warehouse	Old Castle Building Envelope 
7	Non-Food Manufacturer/Warehouse	Sashco
4	Non-Food Manufacturer/Warehouse	Holcim USA
28	Healthcare - Combined Care	Bonaventure of Thornton (23O534)
133	Healthcare - Skilled Nursing	Avamere Transitional Care and Rehab-Malley (020432): November 2020
56	Healthcare - Skilled Nursing	Lemay Avenue Health & Rehabilitation (020326): November 2020
39	Healthcare - Skilled Nursing	Villa Manor Care Center (020451): November 2020
5	Restaurant - Fast Food	Chick-fil-a- Belleview Shores
10	Construction Company/Contractor	Pride Roofing & Construction
73	Healthcare - Skilled Nursing	Sterling Living Center (020165)
6	Farm/Dairy	Trinchera Blanca Ranch
5	Religious Facility	Evangel Assembly of God Church
23	Healthcare - Skilled Nursing	Harmony Pointe Nursing Center (020425): November 2020
62	Healthcare - Skilled Nursing	The Gardens Skilled Nursing and Rehab Center of Colorado Springs (020533)
6	Healthcare - Outpatient	Interim HealthCare of Pueblo
11	Office/Indoor Workspace	First Bank - W Colfax Lakewood
27	Retailer	Costco Wholesale #1030
6	Retailer	Walmart #3227 
9	Retailer	Walmart #3018
3	Retailer	LivWell Enlightened Health
152	Healthcare - Psychiatric Hospital	Colorado Mental Health Institute at Pueblo (CMHIP): November 2020
10	Healthcare - Outpatient	Penrose St. Francis Health Services - Radiation Oncology Department
9	Retailer	Walmart #3582: November 2020
29	Healthcare - Psychiatric Hospital	Cedar Springs Behavioral Health Services
21	Healthcare - Assisted Living	Grand Villa Assisted Living (231132)
5	School K-12	Hemphill Middle School
3	School K-12	Devinny Elementary 
13	School K-12	Thompson Valley High School
4	Child Care Center	Highlands Academy
19	Healthcare - Outpatient	Orthopedic & Spine Center of the Rockies- Fort Collins
4	Office/Indoor Workspace	Black Hills Energy 
58	Jail	Fremont County Sheriff's Detention Center
8	Child Care Center	Primrose at Bear Creek
8	Office/Indoor Workspace	The Aerospace Corporation
21	Law Enforcement - Other	Fort Collins Police Department
6	Indoor Entertainment/Rec	CrossFitMRF/Mountain Range Fitness
2	Office/Indoor Workspace	Dominion Due Diligence Group
7	Law Enforcement - Other	Colorado Springs Police Department Impound Lot
8	Healthcare - Outpatient	Family Support Center- South
117	Healthcare - Skilled Nursing	The Healthcare Resort of Colorado Springs (02U718)
10	Other	Colorado Department of Public Health and Environment Laboratory Services
8	School K-12	Skyview Middle School 
22	Non-Food Manufacturer/Warehouse	Walker Manufacturing
7	Office/Indoor Workspace	Elward Systems Corporation 
5	Child Care Center	Jump Start Early Learning Academy
588	State Prison	Bent County Correctional Facility
4	Child Care Center	Colonnade Early Learning
10	Grocery Store	Target- Northfield Blvd
5	Healthcare - Outpatient	DTC SURGERY CENTER
6	Healthcare - Outpatient	Sangre de Cristo Community Care
5	Healthcare - Outpatient	Homeward Pikes Peak
21	Healthcare - Skilled Nursing	Casey's Pond Senior Living (23Y775): November 2020
12	Healthcare - Facility for Developmentally Disabled (inpatient)	Wheat Ridge Regional Center - House C
19	Food Manufacturing/Packaging	Udi's Bakery Boulder Brands-Conagra
7	Other	Southwest Motors_ Inc
4	Other	Centennial Water & Sanitation District
3	Office/Indoor Workspace	Vectra Bank Colorado
4	Office/Indoor Workspace	Town of Eagle Public Works
28	School K-12	Hotchkiss K-8
5	Other	Denver Public Library
16	School K-12	Loveland High School
15	Healthcare - Assisted Living	Rosemark at Mayfair Park (23E998)
17	Other	All Recycling
4	Retailer	The Home Depot #1544: November 2020
5	School K-12	Leman Academy of Excellence- DCSD Charter School
3	Grocery Store	Trader Joe's #306
7	Child Care Center	A Child's Place
5	Office/Indoor Workspace	Pueblo Diversified Industries/Community Employment
