total	type	name
3	Healthcare - Assisted Living	Legacy Village of Castle Pines (23O530): February 2021
2	School K-12	DSST: Byers Middle School
2	Healthcare - Skilled Nursing	Gunnison Valley Health Senior Care Center (020999): February 2021
4	Office/Indoor Workspace	Bushwood Holdings_ Inc.
2	Office/Indoor Workspace	Aperio Global_ LLC
14	School K-12	American Academy - Lincoln Meadows
5	Personal Services	Grand Salon & MedSpa
2	Retailer	Native Roots (Dillon)
20	Office/Indoor Workspace	ANB Bank
3	Child Care Center	Keith McNeill Head Start Center
6	Healthcare - Hospice	TRU Community Care - Hospice
3	Grocery Store	Trader Joe's #303
8	Other	Western Aero Repair
4	Retailer	The Home Depot #1512: January 2021
4	Construction Company/Contractor	Weifield Group Contracting Inc. - Windsor
4	College/University	Colorado School of Mines- Elm Hall: February 2021
3	School K-12	Colorado International Language Academy: February 2021
9	Other	Retreatia
6	School K-12	Indian Ridge Elementary School
3	College/University	Colorado School of Mines - Sigma Alpha Epsilon 
8	College/University	Metropolitan State University Athletics Social Gathering
4	Healthcare - Skilled Nursing	The Center at Lowry (02G500): February 2021
2	Restaurant - Sit Down	Rio Grande Mexican Restaurants_ Inc.
7	School K-12	Winona Elementary School
5	School K-12	Rampart High School
9	School K-12	Mesa Ridge High School
2	Personal Services	Harmony Skin and Wellness
2	School K-12	Foothills Elementary School
4	School K-12	Falcon High School: February 2021
9	School K-12	Thomas MacLaren School: February 2021
7	Other	Security Water and Sanitation Districts
5	Restaurant - Other	The Doughnut Club- Fort Collins
16	Healthcare - Skilled Nursing	Advanced Health Care of Colorado Springs (02Q655): February 2021
11	School K-12	Cheyenne Mountain High School: February 2021
4	School K-12	Fountain- Fort Carson High School: February 2021
4	School K-12	Vail Christian High School
5	Restaurant - Sit Down	Aurum Food and Wine
5	School K-12	Red Hill Elementary School
4	Non-Food Manufacturer/Warehouse	Colorado Microcircuits
5	School K-12	Prairie Hills Elementary School
13	Child Care Center	Primrose School at the Flatirons
3	Restaurant - Sit Down	Cochino Taco
19	College/University	Otero Junior College Athletics
5	Child Care Center	PEAK Education Center
2	School K-12	Douglas County School District Transportation
5	Non-Food Manufacturer/Warehouse	RMT Overland
2	School K-12	Turman Elementary School 
3	School K-12	Jordahl Elementary School: February 2021
4	Restaurant - Fast Food	Burger King #5616
6	Healthcare - Skilled Nursing	Good Samaritan Society- Fort Collins Village (020314): February 2021
4	Office/Indoor Workspace	Aspen Systems Inc
3	Healthcare - Group Home	Maez House (05R356)
4	Other	Tesla Service Center- Colorado Springs
8	School K-12	Bauder Elementary School
13	School K-12	Liberty Common Elementary School
12	Child Care Center	The Acorn School for Early Childhood Development
2	School K-12	Needham Elementary School: February 2021
2	School K-12	Washington Elementary School
5	Construction Company/Contractor	Schmidt Construction Company
9	Retailer	Walmart #3582: February 2021
5	Retailer	Walmart #5123
6	Youth Sports/Activities	RoughRiders 14/15 (Boys)
2	Food Distribution	The Salvation Army
17	School K-12	Regis Jesuit High School
4	Construction Site	Carmel Construction
14	School K-12	Rocky Mountain Lutheran High School
2	Other	Keystone Tenderfoot 7000 Building
6	College/University	University of Northern Colorado Men's Basketball Team
4	Retailer	Home Depot #1538
3	School K-12	Escalante-Biggs Academy: February 2021
3	Other	Breckenridge Terrace Building G
7	Retailer	Home Depot #1541
3	Grocery Store	City Market #420
10	Child Care Center	Children's Garden Learning Academy
2	Law Enforcement - Other	City of Ouray Police Department
4	School K-12	Ben Franklin Academy: February 2021
38	Youth Sports/Activities	5280 Gymnastics_ LLC- Littleton
3	School K-12	Buffalo Ridge Elementary School
3	Other	Breckenridge Terrace Building K
11	School K-12	Broomfield High School
10	Healthcare - Skilled Nursing	Bear Creek Center (020435): February 2021
19	Other	Spradley Barr Ford of Greeley
19	Distribution Center/Business	Walker Products
4	Retailer	Walmart #2270
10	Office/Indoor Workspace	Pikes Peak National Bank
8	School K-12	Rock Ridge Elementary School
4	Office/Indoor Workspace	Group Insurance Analysts_ Inc
12	School K-12	Park Elementary School
17	Healthcare - Independent Living Facility	Parkwood Estates
4	Religious Facility	New Haven Holiness Pentecostal Church
163	Outdoor Entertainment/Rec	Winter Park Resort
3	Bar/Tavern/Brewery	The Barrel
4	Office/Indoor Workspace	Eastern Colorado Bank
2	Outdoor Entertainment/Rec	Black Tie Ski Rentals of Breckenridge
2	Other	Phil Long Kia
6	Healthcare - Hospice	Phoenix Home Care and Hospice
7	School K-12	Estes Park High School
28	School K-12	Chatfield High School
5	School K-12	Schmitt Elementary: February 2021 
13	School K-12	Greeley Central High School
16	School K-12	Windsor High School
5	Youth Sports/Activities	Fort Collins High School Wrestling Invitational
5	Office/Indoor Workspace	WCG Incorporated
2	School Administration	Littleton Public Schools Education Services Center 
9	Office/Indoor Workspace	Ace Hardware Retail Support Center
3	School K-12	Palmer Ridge High School: January 2021
3	Office/Indoor Workspace	Mortgage Solution Financial
4	Religious Facility	Fellowship Church: February 2021
5	Other	Four Seasons Veterinary Specialists: February 2021
11	School K-12	Barone Middle School 
7	Adult Sports Club/Team	Colorado Avalanche
41	Youth Sports/Activities	Peak Athletics & Cheer Athletics Denver: January 2021
3	Child Care Center	Active Learners Academy (Costilla and Broadway)
14	School K-12	Columbine High School: February 2021
9	School K-12	Creativity Challenge Community School
24	Religious Facility	Generations Church
11	School K-12	Front Range Christian School: February 2021
8	Religious Facility	First Presbyterian Church
6	Healthcare - Group Home	Blue River Group Home
13	College/University	University of Northern Colorado Track and Field Team
9	Grocery Store	Safeway #1301
6	School K-12	Mesa Elementary School
11	School K-12	Mile High Academy February 2021
2	School K-12	Thornton High School
9	Religious Facility	Sacred Heart
2	Healthcare - Assisted Living	Gunnison Valley Health Assisted Living (23R871)
5	School K-12	Rangely Junior/Senior High School: January 2021
2	Religious Facility	Grace Church
9	School K-12	Kinard Core Knowledge Middle School
44	Healthcare - Skilled Nursing	Accel at Golden Ridge (02V720): January 2021
8	Non-Food Manufacturer/Warehouse	Maggart and Son's Inc. 
2	School K-12	Montrose Northside Elementary School
