total	type	name
4	School K-12	Strawberry Park Elementary School
5	Healthcare - Assisted Living	The Well House Arvada LLC  (23Z778)
5	Social Gathering	Social Gathering - Routt: December 2020 #2
5	Homeless Shelter	Lighthouse Emergency Shelter
5	School K-12	Steamboat Springs Middle School: January 2021
5	Child Care Center	Jarrow Montessori School
5	"Correctional	 Other"
5	Outdoor Entertainment/Rec	Good Times Adventures
5	Healthcare - Skilled Nursing	Bruce McCandless Veterans Community Living Center (020636): January 2021
5	Other	VCA Northwest Animal Hospital
5	Healthcare - Psychiatric Hospital	Lutheran Medical center - Senior Behavioral Health
5	Non-Food Manufacturer/Warehouse	Rocky Mountain Metal Container: January 2021
5	School K-12	Welchester Elementary School
5	Retailer	Discount Forklift
5	Restaurant - Sit Down	Henry's Pub
5	College/University	University of Northern Colorado Wrestling Team
5	Retailer	Mark's Outdoor Sports
5	Healthcare - Outpatient	Kaiser CSS Pharmacy Call Center
5	Hotel/Lodge/Resort	Peak 8 Properties
5	Retailer	Nike Factory Store
5	Restaurant - Sit Down	Truffle Pig
5	Healthcare - Group Home	C.A.R.E._ INC. Terry House
5	Healthcare - Skilled Nursing	Golden Peaks Center (020367)
5	Restaurant - Sit Down	Nocturne Jazz and Supper Club
5	Hotel/Lodge/Resort	The Timbers Club
5	Healthcare - Outpatient	Boulder Abortion Clinic
5	Child Care Center	Little Mavs Learning Center
5	School K-12	Eiber Elementary
6	Child Care Center	Creede Early Learning Center
6	Healthcare - Acute Care Hospital	Presbyterian St Lukes Bone Marrow Transplant Unit
6	Child Care Center	Primrose School of Longmont
6	Other	Mike Maroone Chevrolet Sales Department
6	Child Care Center	HOPE Montessori Academy
6	Child Care Center	Boulder Waldorf Kindergarten and Preschool
6	Child Care Center	Creme de la Creme
6	Social Gathering	New Year's Social Gathering- Durango
6	Office/Indoor Workspace	Wurth Timberline Fasteners
6	Materials Supplier	Rampart Supply_ Inc.: January 2021
6	Child Care Center	Victory Garden Day Care and Preschool
6	Homeless Shelter	Homeless Shelter
6	Retailer	Torian Sports
7	Hotel/Lodge/Resort	Vacasa Vacation Rentals- Kutuk and Antlers
7	Social Gathering	Social Gathering - Routt: January 2021
7	School K-12	Primrose School of Saddle Rock
7	Grocery Store	City Market #414
7	Distribution Center/Business	UPS-Commerce City
7	Healthcare - Acute Care Hospital	Rio Grande Hospital
7	School K-12	Graland Country Day School: January 2021
7	Healthcare - Psychiatric Hospital	Mental Health Center of Denver - Beeler House
7	Healthcare - Psychiatric Hospital	All Health Network Santa Fe House
7	Retailer	Camping World of Longmont
7	Restaurant - Sit Down	Old Town Pub
7	Retailer	Aqua Spas 
7	Retailer	Apple Store - Cherry Creek
7	Healthcare - Skilled Nursing	The Valley Inn (02123H)
7	School K-12	Sand Creek High School
7	School K-12	SkyView Academy: January 2021
7	Other	Mike Maroone Collision Center
7	Healthcare - Assisted Living	A Feathered Nest at Thornton (2304JA)
7	Office/Indoor Workspace	Wall_ Smith_ Bateman Inc
7	Healthcare - Assisted Living	Home Care at Popa's Assisted Living (23M206)
8	School K-12	Summit High School: January 2021
8	School K-12	Centennial Academy of Fine Arts Education: January 2021
8	Restaurant - Sit Down	Steuben's Uptown: January 2020
8	School K-12	The Classical Academy North Secondary School: January 2021
8	Child Care Center	Little Blessings Church Campus
8	Restaurant - Sit Down	Texas Roadhouse- Denver
8	Healthcare - Skilled Nursing	Cottonwood Rehab and Extended Care (02E994)
8	Healthcare - Assisted Living	Ashley Manor Irma 2 (23C354)
8	Healthcare - Group Home	Lamar Group Home (05G499)
9	School K-12	Rifle High School
9	Healthcare - Outpatient	Rocky Mountain Behavioral Health: January 2021
9	Religious Facility	Clifton Christian Church
9	Religious Facility	Stillwater Cowboy Church
9	Retailer	Emerald Fields
9	Healthcare - Assisted Living	Eastern Star Masonic Center of Colorado (2304HP): January 2021
9	Healthcare - Assisted Living	The Retreat at Church Ranch (2304LF)
9	Healthcare - Skilled Nursing	Vista View Care Center (02R315): January 2021
9	Other	Department of Transportation and Infrastructure- Wastewater Management 
9	College/University	Colorado School of Mines -Spruce Hall: January 2021
9	Retailer	Christy Sports- Dillon
9	Religious Facility	Sacred Heart
10	College/University	Colorado School of Mines Kappa Sigma : January 2021
10	College/University	University of Northern Colorado Football Team
10	Bar/Tavern/Brewery	O'Neils Tavern & Grill
10	Non-Food Manufacturer/Warehouse	Terumo Blood and Cell Technologies: January 2021
10	Indoor Entertainment/Rec	Studio West Dance Center
10	Healthcare - Assisted Living	Serenity House Assisted Living Kingston (23R848)
10	Restaurant - Other	White House Pizza
11	School K-12	St. Columba School
11	Healthcare - Skilled Nursing	Powerback Rehabilitation Lakewood (02A935): January 2021
11	Homeless Shelter	The Place
11	Other	VCA Alameda East Veterinary Hospital
11	Other	Peak Academy of Dance
11	Child Care Center	Woodland Park Community Church Learning Center
11	College/University	University of Colorado Football Team
11	Religious Facility	Vintage City Church
11	Religious Facility	Life Tabernacle Church
12	Law Enforcement - Other	Mesa County Sheriff's Office
12	Restaurant - Fast Food	MOD Pizza
12	Outdoor Entertainment/Rec	Copper Mountain Guest Services/Copper Sports Center
12	Healthcare - Assisted Living	Garden Square Westlake (2303C0): January 2021
13	Child Care Center	The Goddard School of Louisville
13	Retailer	Christy Sports Gondola Square
13	College/University	Colorado School of Mines - Bradford Hall
13	Office/Indoor Workspace	Colorado Department of Transportation - Mesa County
13	Office/Indoor Workspace	Town of Bennett Town Hall
13	Homeless Shelter	Mile High Behavioral Healthcare- Aurora Day Resource Center
14	Outdoor Entertainment/Rec	Monarch Ski Mountain
14	Non-Food Manufacturer/Warehouse	Primus Aerospace
14	Healthcare - Independent Living Facility	Longmont Regent 
15	Healthcare - Combined Care	Montage Ridge (2304WQ): January 2021
15	Office/Indoor Workspace	UCHealth Auxiliary Support Building
16	Other	Longmont Fire Department
17	Healthcare - Skilled Nursing	Grace Healthcare and Rehabilitation Center of Glenwood Springs (020889)
17	Healthcare - Assisted Living	Garden Square at Spring Creek (230320)
17	Religious Facility	Canyon View Vineyard Church
18	Healthcare - Skilled Nursing	Clear Creek Care Center (020401): January 2021
18	"Correctional	 Other"
19	Healthcare - Alcohol/Drug Abuse Treatment (outpatient)	Jaywalker Lodge
20	School K-12	Meeker High School: January 2021
20	Religious Facility	Cornerstone Church
21	Office/Indoor Workspace	Baker Hughes - Nexus Controls
21	Healthcare - Assisted Living	Harvard Square Retirement Community (230428): January 2021
21	School K-12	Pueblo School for Arts and Sciences- Fulton Heights
21	Healthcare - Memory Care	Sunshine Gardens Country Home (23R387)
24	Homeless Shelter	Mile High Behavioral Healthcare -Comitis Crisis Center 
32	College/University	Colorado Northwestern Community College
33	Healthcare - Skilled Nursing	Southeast Colorado Hospital
35	School K-12	Eaglecrest High School
37	Healthcare - Skilled Nursing	Canon Lodge Care Center (020676): January 2021
40	College/University	Ravencrest Bible School
44	State Prison	Denver Reception and Diagnostic Center: January 2021
56	Healthcare - Skilled Nursing	Spring Creek Healthcare Center (020372)
