,total,name,type,county
96,2,Lincoln Elementary School,School K-12,Denver
97,4,Advance Auto Parts #7442,Retailer,Pueblo
98,2,Woodland Park Middle School,School K-12,Teller
99,7,The Center at Park West (02E472): April 2021,Healthcare - Skilled Nursing,Pueblo
100,4,William Oliver's Publick House,Bar/Tavern/Brewery,Boulder
101,2,Jefferson Academy Elementary,School K-12,Jefferson
102,4,Cheer Central Suns,Youth Sports/Activities,Boulder
103,5,Conifer High School,School K-12,Jefferson
104,4,Mobile Wrench Enterprises,Other,Adams
105,7,Animal Emergency and Specialty Center: April 2021,Other,Douglas
106,7,Learning Tree,Child Care Center,Mesa
107,3,Grace Pointe Continuing Care Senior Campus Assisted Living (23T749): April 2021,Healthcare - Assisted Living,Weld
108,3,Raising Cane's,Restaurant - Fast Food,Boulder
109,5,Primrose School at Reunion ,Child Care Center,Adams
110,3,The Woodhouse Day Spa - Castle Pines,Personal Services,Douglas
111,3,Living Way Fellowship,Religious Facility,Douglas
112,3,Circle K - Longmont,Convenience/Corner Store,Boulder
113,9,New Tech Machinery,Non-Food Manufacturer/Warehouse,Adams
114,5,Strater Hotel: April 2021,Hotel/Lodge/Resort,La Plata
115,3,Brother Bear Daycare 1: April 2021,Child Care Center,Adams
116,8,Grace Chapel,Religious Facility,Douglas
117,8,Legend High School: April 2021,School K-12,Douglas
118,3,Primoris Renewable Energy,Office/Indoor Workspace,Adams
119,5,The Learning Experience - Cottonwood Creek,Child Care Center,El Paso
120,8,Swallows Charter Academy,School K-12,Pueblo
121,4,Shelledy Elementary School ,School K-12,Mesa
122,20,Ranch View Middle School: March 2021,School K-12,Douglas
123,4,Littleton Academy Charter School,School K-12,Arapahoe
124,2,Highland Elementary School,School K-12,Arapahoe
125,4,The Fountains of Hilltop (2311QA): April 2021,Healthcare - Assisted Living,Mesa
126,2,Franklin Elementary School,School K-12,Arapahoe
127,2,Pinnacle Charter School - Middle School campus,School K-12,Adams
128,4,Purina Animal Nutrition,Retailer,Adams
129,2,Button Rock Bakery,Specialty Food Retailer,Boulder
130,2,Autumn Heights Health Care Center (020405): April 2021,Healthcare - Skilled Nursing,Denver
131,2,My School Preschool,Child Care Center,Arapahoe
132,2,The Village Preschool at Highland,Child Care Center,Arapahoe
133,2,Forest Street Compassionate Care Center (02H516): April 2021,Healthcare - Skilled Nursing,Denver
134,4,Hamilton Middle School,School K-12,Denver
135,5,Otter Products - Frederick Distribution Facility,Distribution Center/Business,Weld
136,2,Arbors of San Marino (2304MO): April 2021,Healthcare - Combined Care,Adams
137,10,High Plains School: April 2021,School K-12,Larimer
138,2,Prowers Medical Center,Healthcare - Acute Care Hospital,Prowers
139,2,Manhattan Middle School,School K-12,Boulder
140,4,Longmont High School: March 2021,School K-12,Boulder
141,2,Four Mile Correctional Center: April 2021,State Prison,Colorado
142,2,William Smith High School,School K-12,Arapahoe
143,2,Addenbrooke Classical Academy,School K-12,Jefferson
144,4,Zach Core Elementary School,School K-12,Larimer
145,2,Wendy's- Pueblo,Restaurant - Fast Food,Pueblo
146,10,Englewood Early Childhood Education Program at Maddox,Child Care Center,Arapahoe
147,3,The Suites Parker (02K186): April 2021,Healthcare - Skilled Nursing,Douglas
148,10,Runyon Elementary School: April 2021,School K-12,Arapahoe
149,4,KinderCare Learning Center Oakridge,Child Care Center,Larimer
150,6,Steele Athletics - Northern Colorado,Youth Sports/Activities,Larimer
151,2,Plum Creek Shoe Station ,Retailer,Larimer
152,6,Penrose St. Francis Health Services- Food and Nutrition Services,Healthcare - Acute Care Hospital,El Paso
153,5,Rocky Mountain Elementary,School K-12,Mesa
154,3,Pioneer Scale Company,Other,Jefferson
155,3,Jax Fish House & Oyster Bar- Boulder,Restaurant - Sit Down,Boulder
156,3,Dolores County High School,School K-12,Dolores
157,4,Spencer's Restaurant,Restaurant - Sit Down,Summit
158,4,FedEx Express DEN: April 2021,Distribution Center/Business,Denver
159,2,Brush Creek Saloon,Bar/Tavern/Brewery,Eagle
160,7,Ocean Prime- Denver Tech Center,Restaurant - Sit Down,Arapahoe
161,4,Herman Building Company,Construction Company/Contractor,San Miguel
162,4,Legacy of Lafayette (230322),Healthcare - Assisted Living,Boulder
163,8,Liberty Tree Academy,School K-12,El Paso
164,8,The Goddard School of Denver - City Park West,Child Care Center,Denver
165,6,Bear Creek High School: April 2021,School K-12,Jefferson
166,4,Owens- Illinois: April 2021,Non-Food Manufacturer/Warehouse,Weld
167,3,Arryved,Office/Indoor Workspace,Boulder
168,6,ThunderZone Pizza & Taphouse,Restaurant - Sit Down,Pueblo
169,7,Buena Vista Correctional Complex: April 2021,State Prison,Colorado
170,2,Mount Carbon Elementary School,School K-12,Jefferson
171,3,MorningStar of Arvada (23T231): April 2021,Healthcare - Combined Care,Jefferson
172,3,Allen Heating and Air,Construction Company/Contractor,Larimer
173,4,YG Acoustics,Non-Food Manufacturer/Warehouse,Jefferson
174,7,La Vista Correctional Facility: April 2021,State Prison,Colorado
175,5,Joy Sushi,Restaurant - Sit Down,Eagle
176,4,Recreational Electric LLC,Other,Larimer
177,5,Lightning eMotors,Office/Indoor Workspace,Larimer
178,5,Greenwood Village Police Department,Law Enforcement - Other,Arapahoe
179,2,Rodelle Inc,Food Manufacturing/Packaging,Larimer
180,5,Die Cut Technologies,Non-Food Manufacturer/Warehouse,Adams
181,2,The Carillon at Belleview Station (23N139): April 2021,Healthcare - Assisted Living,Denver
182,3,Canyon Bakehouse: April 2021,Food Manufacturing/Packaging,Larimer
183,4,Peakview School,School K-12,Huerfano
184,2,Granville Assisted Living Center (23045K): April 2021,Healthcare - Assisted Living,Jefferson
185,4,Granby Post Office,Distribution Center/Business,Grand
186,3,Help & Hope Center,Other,Douglas
187,4,Rivendell School of Northern Colorado,School K-12,Larimer
188,3,Devonshire Acres Skilled Nursing (020193): April 2021,Healthcare - Skilled Nursing,Logan
189,6,Drury Inn and Suites,Hotel/Lodge/Resort,Denver
190,2,REI - Dillon,Retailer,Summit
191,3,The Taco Stop,Restaurant - Sit Down,Larimer
192,8,Westminster High School: April 2021,School K-12,Adams
193,8,Turner Middle School,School K-12,Larimer
194,3,Bedrosians Tile and Stone,Materials Supplier,Denver
195,4,Markley Motors: March 2021,Other,Larimer
196,3,Johnson Storage & Moving Company,Other,Larimer
197,2,South Valley Post Acute Rehabilitation (020416): April 2021,Healthcare - Skilled Nursing,Denver
198,3,South Main Station,Other,Boulder
199,4,Stoney's Bar and Grill ,Restaurant - Sit Down,Denver
200,5,Laurel Elementary School,School K-12,Larimer
201,2,Balfour Central Park (23H949): April 2021,Healthcare - Assisted Living,Denver
202,7,St Paul Health Center (020448): April 2021,Healthcare - Skilled Nursing,Denver
203,4,Weld County Public Works_ Engineering,Other,Weld
204,5,Odyssey School Of Denver,School K-12,Denver
205,2,Whole Foods Market - Tamarac: April 2021,Grocery Store,Denver
206,2,Brookdale Boulder Creek (2303QF): April 2021,Healthcare - Assisted Living,Boulder
207,3,Capital Business Systems Inc.,Office/Indoor Workspace,Larimer
208,14,Bacon Elementary School,School K-12,Larimer
209,7,Falcon High School: April 2021,School K-12,El Paso
210,5,Fountain Valley School of Colorado: April 2021,School K-12,El Paso
211,5,Hillcrest Care Center (020197): April 2021,Healthcare - Skilled Nursing,Yuma
212,3,Horizon Middle School,School K-12,El Paso
213,12,Lesher Middle School: April 2021,School K-12,Larimer
214,12,AutoNation Chrysler Dodge Jeep RAM Southwest,Other,Denver
215,4,Shepardson Elementary School: April 2021,School K-12,Larimer
216,4,Ashley Manor - Evans III (2303AM),Healthcare - Assisted Living,Weld
217,4,Taco Bell- Greeley (Centerplace Dr),Restaurant - Fast Food,Weld
218,6,Dunn Elementary School,School K-12,Larimer
219,3,Erie High School,School K-12,Weld
220,7,Platte Valley Youth Services Center: April 2021,"Correctional, Other",Colorado
221,4,Skyline High School: April 2021,School K-12,Boulder
222,4,APS Early Beginnings,Child Care Center,Arapahoe
223,2,River Valley Inn (02Z787): April 2021,Healthcare - Skilled Nursing,Rio Grande
224,4,Loxo Oncology Construction Project,Construction Site,Boulder
225,4,Walt Clark Middle School,School K-12,Larimer
226,3,Sports Station American Grill,Restaurant - Sit Down,Larimer
227,4,Ashley Manor - Fort Lupton (23F488),Healthcare - Assisted Living,Weld
228,10,Vestas Blades America - Windsor: March 2021,Materials Supplier,Weld
229,3,Virginia's Kitchen,Non-Food Manufacturer/Warehouse,Denver
230,5,Breckenridge Distillery,Bar/Tavern/Brewery,Summit
231,2,Albertsons #0816: April 2021,Grocery Store,Pueblo
232,6,Rocky Mountain Prep Southwest: April 2021,School K-12,Denver
233,3,Lewis Palmer Middle School,School K-12,El Paso
234,2,Coronado Elementary School,School K-12,Jefferson
235,3,Summit Rehabilitation and Care Community (020407): April 2021,Healthcare - Skilled Nursing,Arapahoe
236,2,Martin Luther King Jr Elementary School,School K-12,El Paso
237,12,Future Foam,Non-Food Manufacturer/Warehouse,Denver
238,4,Constant Care of Colorado Springs_ Inc. (23U713),Healthcare - Assisted Living,El Paso
239,4,Three Margaritas Pueblo West,Restaurant - Sit Down,Pueblo
240,5,Fellowship Church: April 2021,Religious Facility,Mesa
241,4,Bradford Elementary School,School K-12,Pueblo
242,9,Woodland Park High School,School K-12,Teller
243,3,Primero School,School K-12,Las Animas
244,6,Kruse Elementary School ,School K-12,Larimer
245,3,Mapleton Early Childhood Center,Child Care Center,Boulder
246,2,Thompson Valley Liquor,Retailer,Larimer
247,5,Aspen Glen (2311JT),Healthcare - Assisted Living,Mesa
248,5,Whole Foods Market- Belmar: April 2021,Grocery Store,Jefferson
249,8,Chick-Fil-A- Dublin Commons,Restaurant - Fast Food,El Paso
250,2,Bonell Good Samaritan Center (230327),Healthcare - Assisted Living,Weld
251,11,Faith Christian High School: April 2021,School K-12,Jefferson
252,4,Interim HealthCare of Southeastern Colorado: April 2021,Healthcare - Outpatient,El Paso
253,3,Broes Electric_ Inc_,Construction Company/Contractor,Weld
254,4,Rocky Mountain Wireline Services,Other,Weld
255,2,JMP Heat Inc: April 2021,Construction Company/Contractor,Larimer
256,8,Red Rocks Country Club: April 2021,Other,Jefferson
257,2,Sunset Park Elementary School,School K-12,Pueblo
258,5,Palisade Church of the Nazarene,Religious Facility,Mesa
259,3,Super Vacuum Manufacturing Co,Non-Food Manufacturer/Warehouse,Larimer
260,10,Evergreen Middle School,School K-12,Jefferson
261,2,Big O Tires,Other,Weld
262,3,Life Care Center of Westminster (0204W2): April 2021,Healthcare - Skilled Nursing,Adams
263,4,Starbucks - College Avenue,Restaurant - Other,Boulder
264,2,Fresenius Kidney Care Northern Colorado Home Program,Healthcare - Outpatient,Larimer
265,4,Christ's Church of the Rockies,Religious Facility,Larimer
266,5,Springs Transit,Other,El Paso
267,5,Little Kickers Swim School,Youth Sports/Activities,Denver
268,4,Fairway Independent Mortgage Corporation - Northern Colorado,Office/Indoor Workspace,Larimer
269,5,Applewood Living Center (020375): April 2021,Healthcare - Skilled Nursing,Boulder
270,7,John Mall High School,School K-12,Huerfano
271,4,Bruce McCandless Veterans Community Living Center (020636): April 2021,Healthcare - Skilled Nursing,Colorado
272,4,Haskin Elementary Preschool,Child Care Center,Saguache
273,4,Denver North Care Center (020444): April 2021,Healthcare - Skilled Nursing,Denver
274,3,Dutch Creek Elementary School: April 2021,School K-12,Jefferson
275,2,Ostara Co-Op,Other,Boulder
276,9,Explorer Elementary School: April 2021,School K-12,El Paso
277,9,Grand Peak Academy: April 2021,School K-12,El Paso
278,3,Colorado School of Mines- Alpha Tau Omega,College/University,Jefferson
279,3,Sweep Balayage Bar,Personal Services,Boulder
280,2,Marycrest Assisted Living (2304ST): March 2021,Healthcare - Assisted Living,Denver
281,2,Gaia Inc.,Office/Indoor Workspace,Boulder
282,2,Columbian Elementary School,School K-12,Pueblo
283,2,Mi Mexico,Restaurant - Sit Down,Montezuma
284,2,Subaru of Loveland,Other,Larimer
285,2,The Corner Coin & Jewelry Inc,Retailer,Larimer
286,2,Colorado Department of Corrections Headquarters: March 2021,"Correctional, Other",Colorado
287,2,Rock Canyon Respiratory and Rehabilitation Center (020699): April 2021,Healthcare - Skilled Nursing,Pueblo
288,7,Verde Natural,Retailer,Denver
289,2,Dartmouth Elementary School,School K-12,Arapahoe
290,2,Clermont Park Assisted Living (230463): April 2021,Healthcare - Skilled Nursing,Denver
291,3,Carbondale Community School,School K-12,Garfield
292,2,Crowley County Nursing Center (020248): April 2021,Healthcare - Skilled Nursing,Crowley
293,3,John Evans Early Head Start Center: April 2021,Child Care Center,Weld
294,3,Social Gathering- Montezuma ,Social Gathering,Summit
295,4,Idaho Pacific Colorado Corp: April 2021,Food Warehouse,Rio Grande
296,5,Colorado Springs Police Department - Gold Hill: March 2021,Law Enforcement Administration,El Paso
297,2,Willow Creek Elementary School,School K-12,Arapahoe
298,2,Mountain Vista Health Center (020429): April 2021,Healthcare - Skilled Nursing,Jefferson
299,11,Cresthill Middle School: April 2021,School K-12,Douglas
300,16,Martinez Elementary School,School K-12,El Paso
301,4,Southwest Eye Consultants,Healthcare - Outpatient,La Plata
302,6,Vail Christian High School: April 2021,School K-12,Eagle
303,5,Vestas Towers America Inc: March 2021,Non-Food Manufacturer/Warehouse,Pueblo
304,5,CorePower Yoga- Belmar,Indoor Entertainment/Rec,Jefferson
305,2,Rangeview High School: March 2021,School K-12,Arapahoe
306,4,Billet Tech LLC,Non-Food Manufacturer/Warehouse,Larimer
307,17,Vail Mountain School,School K-12,Eagle
308,5,James Irwin Charter Schools: April 2021,School K-12,El Paso
309,2,Eastridge Elementary School,School K-12,Arapahoe
310,4,Centennial Head Start Center,Child Care Center,Weld
311,2,Durango North Head Start,Child Care Center,La Plata
312,9,Fort Lewis College- Football Team: April 2021,College/University,La Plata
313,5,Wheat Ridge Cyclery,Retailer,Jefferson
314,25,Douglas County High School,School K-12,Douglas
315,5,The Goddard School- Westminster,Child Care Center,Adams
316,2,Securitas Security Services USA,Office/Indoor Workspace,Larimer
317,4,Patterson Plumbing & Heating_ Inc,Home Maintenance Services,Pueblo
318,9,The Home Depot #1514: March 2021,Retailer,Jefferson
319,5,The Retreat at Sunny Vista (23Q180): April 2021,Healthcare - Assisted Living,El Paso
320,3,Infinity Certified Welding and Fabrication,Non-Food Manufacturer/Warehouse,Summit
321,6,Two Rivers Community School,School K-12,Garfield
322,3,Urban Air Trampoline and Adventure Park,Indoor Entertainment/Rec,Larimer
323,3,Einstein Bros Bagels,Restaurant - Fast Food,Jefferson
324,3,Mitchell High School: April 2021,School K-12,El Paso
325,9,Farmers State Bank - Falcon Branch,Office/Indoor Workspace,El Paso
326,3,Eagle Valley Middle School,School K-12,Eagle
327,3,Vail Ski and Snowboard Academy,School K-12,Eagle
328,3,CPCD Modular Falcon 1,Child Care Center,El Paso
329,3,Brush Creek Elementary School,School K-12,Eagle
330,7,Cadre General Contractors,Construction Company/Contractor,Arapahoe
331,7,Mountain Ridge Middle School: April 2021,School K-12,Douglas
332,3,St Andrews Village-LTC (02O244): April 2021,Healthcare - Skilled Nursing,Arapahoe
333,5,Cache La Poudre Elementary School,School K-12,Larimer
334,2,Aspen Landscape Management_ Inc,Construction Company/Contractor,Larimer
335,4,RBL&R CPAs_ LLC,Office/Indoor Workspace,Weld
336,3,Manzanola High School,School K-12,Otero
337,2,Windsong at Northridge (23K987),Healthcare - Memory Care,Weld
338,4,Raising Daisies,Child Care Center,Larimer
339,6,Ellicott Senior High School,School K-12,El Paso
340,17,Stolle Machinery- Centennial: April 2021,Non-Food Manufacturer/Warehouse,Arapahoe
341,2,Arbor View (020414): April 2021,Healthcare - Skilled Nursing,Jefferson
342,5,Ben Franklin Academy: April 2021,School K-12,Douglas
343,15,Webber Middle School,School K-12,Larimer
344,5,Vossloh-Rocla North America,Materials Supplier,Pueblo
345,3,Smoky Hill High School,School K-12,Arapahoe
346,5,T Bare Roofing,Construction Company/Contractor,Weld
347,6,Mama Bear Home Day Care,Child Care Center,Larimer
348,25,Sierra Middle School,School K-12,Douglas
349,3,Life Care Center of Greeley (0203TL): April 2021,Healthcare - Skilled Nursing,Weld
350,8,Greeley West High School: April 2020,School K-12,Weld
351,5,Our House_ Inc.,Healthcare - Facility for Developmentally Disabled (outpatient),El Paso
352,25,Mesa Middle School,School K-12,Douglas
353,4,Adams State University Spring Football,College/University,Alamosa
354,3,Banning Lewis Preparatory Academy: April 2021,School K-12,El Paso
355,2,Cesar Chavez Academy (CHPA): April 2021,School K-12,Pueblo
356,2,Villagio of Broomfield (23Z321): April 2021,Healthcare - Assisted Living,Jefferson
357,3,975 Stout Rd. Colorado Springs Construction Site,Construction Site,El Paso
358,2,Steamboat Ski Corp - Rendezvouz,Restaurant - Sit Down,Routt
359,2,Biaggi's Ristorante Italiano,Restaurant - Sit Down,Larimer
360,2,Pueblo West Gardens (23Z781),Healthcare - Assisted Living,Pueblo
361,5,Carbondale Middle School,School K-12,Garfield
362,19,Regis Jesuit High School: March 2021,School K-12,Arapahoe
363,5,Casey's Pond Senior Living (23Y775): March 2021,Healthcare - Assisted Living,Routt
364,6,Advantage Manufacturing of Colorado Springs_ LLC,Non-Food Manufacturer/Warehouse,El Paso
365,4,King Soopers #12: April 2021,Grocery Store,Pueblo
366,8,Dish Network- Inverness ,Office/Indoor Workspace,Arapahoe
367,5,Moose Lodge Longmont,Social Gathering,Boulder
368,3,Brekhus Tile & Stone_ Inc.,Materials Supplier,Denver
369,3,Colorado Springs Utilities- Birdsall,Other,El Paso
370,5,Good Samaritan Society - Bonell Community (020356): April 2021,Healthcare - Skilled Nursing,Weld
371,3,Common Ground Golf Course,Other,Arapahoe
372,6,B & B Blending_ LLC,Non-Food Manufacturer/Warehouse,Adams
373,5,Steamboat Ski Corp Housing - The Ponds: March 2021,Other,Routt
374,3,iKid Academy- Smoky Hill: April 2021,Child Care Center,Arapahoe
375,10,Parkmoor Village Healthcare Center (020542): April 2021,Healthcare - Skilled Nursing,El Paso
376,2,Westgate Driver's License Office,Office/Indoor Workspace,Colorado
377,7,Colorado Avalanche: April 2021,Adult Sports Club/Team,Colorado
378,12,Colorado Mountain College- Leadville,College/University,Lake
379,4,Denver NE Driver's License Office,Office/Indoor Workspace,Colorado
380,3,Cherry Hills Christian School,School K-12,Douglas
381,3,Purple Pig Pizzeria & Pub,Restaurant - Sit Down,Alamosa
382,6,Rocky Mountain School of Expeditionary Learning,School K-12,Denver
383,11,Peak Custom Fabrication_ Inc,Construction Company/Contractor,El Paso
384,4,McMahon Training Center,Youth Sports/Activities,Larimer
385,4,Applewood Plumbing_ Heating & Electric,Home Maintenance Services,Denver
386,3,Blue Moon Brewery,Bar/Tavern/Brewery,Denver
387,22,Transwest Truck Trailer RV of Frederick,Other,Weld
388,3,Wagner Franchises Loveland LLC,Office/Indoor Workspace,Larimer
389,2,Sage Telecommunications,Office/Indoor Workspace,Larimer
390,4,Vista Ridge High School,School K-12,El Paso
391,4,Complete Releaf,Retailer,Boulder
392,5,Pawnee Leasing,Office/Indoor Workspace,Larimer
393,8,Horizon Dry Wall Inc.,Construction Company/Contractor,Denver
394,7,Christ in the City: April 2021,Religious Facility,Denver
395,2,Eagleview Middle School,School K-12,El Paso
396,2,Colorado State Veterans Nursing Home - Rifle (020855): April 2021,Healthcare - Skilled Nursing,Colorado
397,2,Qdoba- Fort Collins,Restaurant - Fast Food,Larimer
398,5,Janus Henderson Investors,Office/Indoor Workspace,Denver
399,2,Zwei Brewing,Bar/Tavern/Brewery,Larimer
400,3,Bennett School District Transportation,School Administration,Adams
401,3,Timberview Middle School: April 2021,School K-12,El Paso
402,2,Riverhouse Children's Center,Child Care Center,La Plata
403,3,Hoehne Schools: April 2021,School K-12,Las Animas
404,5,Golden View Classical Academy,School K-12,Jefferson
405,15,Kraemer North America & IHC Scott - I-25 Construction Site,Construction Site,Larimer
406,11,Evo,Retailer,Denver
407,35,Rock Canyon High School: March 2021,School K-12,Douglas
408,2,SandRock Ridge Care and Rehab (02H515): April 2021,Healthcare - Skilled Nursing,Moffat
409,2,Fairview High School,School K-12,Boulder
410,3,Independent Financial- Loveland,Office/Indoor Workspace,Larimer
411,12,Denver Reception & Diagnostic Center: April 2021,State Prison,Colorado
412,5,University Park Care Center (020650): April 2021	,Healthcare - Skilled Nursing,Pueblo
413,2,City of Lakewood Public Works Building Inspection,Other,Jefferson
414,3,The Cheesecake Factory,Restaurant - Sit Down,Denver
415,4,Brookside Inn (0205US): April 2021,Healthcare - Skilled Nursing,Douglas
416,9,Empire Lakewood Nissan,Other,Jefferson
417,3,IBMC Cosmetology Programs,Trade School,Larimer
418,31,Mountain Vista High School: April 2021,School K-12,Douglas
419,4,Parsons Corporation (Braxton),Office/Indoor Workspace,El Paso
420,3,MacKenzie Place Fort Collins (23Z789): March 2021,Healthcare - Assisted Living,Larimer
421,3,Peak 8 Properties: Grand Colorado,Hotel/Lodge/Resort,Summit
422,4,Ace Hardware Retail Support Center: April 2021,Distribution Center/Business,El Paso
423,6,Oil Well Industries LLC,Non-Food Manufacturer/Warehouse,Pueblo
424,11,Pikes Peak Traveland_ Inc.,Office/Indoor Workspace,El Paso
425,6,Sangre de Cristo Community Care: March 2021,Healthcare - Hospice,Pueblo
426,9,The Goddard School- Arvada: April 2021,Child Care Center,Jefferson
